Time,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
1.8,0.00717,-0.04074,0.99388,4.61243,-0.14099,0.04026
1.804,0.00778,-0.04005,0.98625,5.0354,-0.16113,0.13421
1.808,0.00618,-0.03944,0.98465,5.11597,-0.22156,0.08052
1.812,0.00793,-0.04066,0.9903,5.29724,-0.28198,0.36236
1.816,0.00961,-0.04204,0.99648,5.43823,-0.2417,0.53682
1.82,0.00946,-0.04517,1.00075,5.39795,-0.30212,0.55024
1.824,0.00862,-0.04517,0.998,5.47852,-0.32227,0.32209
1.828,0.00656,-0.04135,0.99037,5.78064,-0.02014,0.16105
1.832,0.00839,-0.04349,0.9864,5.86121,-0.04028,0.14763
1.836,0.00725,-0.0396,0.98511,5.98206,-0.16113,0.4563
1.84,0.00763,-0.0412,0.9906,6.20361,-0.28198,0.61735
1.844,0.00732,-0.04555,0.99785,6.36475,-0.26184,0.83208
1.848,0.00648,-0.04021,0.99686,6.18347,-0.28198,0.68445
1.852,0.0074,-0.0444,0.99983,6.36475,-0.20142,0.64419
1.856,0.00793,-0.04364,0.99876,6.28418,-0.12085,0.71129
1.86,0.00618,-0.0412,0.99297,6.64673,-0.2417,0.63077
1.864,0.00519,-0.04204,0.98953,6.86829,-0.44312,0.69787
1.868,0.00465,-0.04021,0.98839,6.80786,-0.4834,0.61735
1.872,0.0029,-0.04059,0.99464,6.86829,-0.22156,0.32209
1.876,0.00488,-0.04509,1.00258,6.94885,-0.06042,0.42946
1.88,0.00725,-0.04173,1.0038,7.10999,0.04028,0.53682
1.884,0.00603,-0.04395,1.00052,7.33154,0.04028,0.50998
1.888,0.00374,-0.04196,0.99365,7.35168,0.08057,0.55024
1.892,0.00366,-0.03792,0.98747,7.3114,-0.16113,0.37578
1.896,0.0029,-0.04173,0.99174,7.61353,-0.26184,0.41604
1.9,0.00435,-0.04303,0.99861,7.81494,-0.40283,0.32209
1.904,0.00557,-0.04395,1.00418,7.45239,-0.34241,0
1.908,0.00725,-0.04646,1.00639,7.39197,-0.04028,-0.16105
1.912,0.00336,-0.04364,0.9948,7.59338,-0.06042,-0.08052
1.916,0.00153,-0.03754,0.98358,7.71423,0.04028,0.09394
1.92,0.00298,-0.04097,0.98579,7.75452,0.02014,-0.16105
1.924,0.00351,-0.04143,0.99312,8.0365,-0.04028,-0.32209
1.928,0.00725,-0.04219,1.00296,8.25806,-0.30212,-0.36236
1.932,0.00603,-0.05028,1.01051,7.89551,-0.40283,-0.41604
1.936,0.00404,-0.04395,1.00159,7.5531,-0.02014,-0.48314
1.94,0.00275,-0.04128,0.99281,7.71423,-0.06042,-0.55024
1.944,0.0016,-0.03937,0.9877,7.59338,-0.18127,-0.5234
1.948,0.00404,-0.0396,0.99007,7.81494,0.04028,-0.73813
1.952,0.00549,-0.04387,1.00311,7.89551,-0.02014,-1.01996
1.956,0.00633,-0.05241,1.01212,7.91565,-0.12085,-0.99312
1.96,0.00443,-0.04326,1.00388,7.61353,-0.22156,-1.18101
1.964,0.0032,-0.04036,0.99503,7.91565,-0.12085,-1.26153
1.968,0.00168,-0.04425,0.99556,8.07678,0.08057,-1.35548
1.972,0.00328,-0.03967,0.99503,7.91565,0.28198,-1.35548
1.976,0.00587,-0.04372,1.00197,7.87537,0.30212,-1.51653
1.98,0.00435,-0.04967,1.01112,7.87537,0.30212,-1.70441
1.984,0.00397,-0.04417,1.00624,7.57324,0.04028,-1.83862
1.988,0.00343,-0.0425,1.0009,7.39197,0.06042,-1.83862
1.992,0.00206,-0.04379,0.99838,7.13013,0.04028,-1.8923
1.996,0.00359,-0.04135,1.00006,7.19055,0.02014,-1.90572
