time,mag
14.01855,1.007547
14.0387,0.9772017
14.05884,0.966213
14.07898,0.9892095
14.09912,1.009295
14.11926,1.017629
14.1394,1.017629
14.15954,1.023638
14.17969,1.037864
14.19983,1.030904
14.21997,1.01836
14.24011,0.9798784
14.26025,0.9798784
14.28039,0.9431599
14.30054,0.9579601
14.32068,0.9798172
14.34082,0.9798172
14.36096,0.9741967
14.3811,0.9959005
14.40124,1.024359
14.42139,1.006442
14.44153,0.9812269
14.46167,0.9837875
14.48181,1.002019
14.50195,1.038113
14.52209,1.038113
14.54224,1.038113
14.56238,1.053641
14.58252,1.028671
14.60266,1.008173
14.6228,1.018108
14.64294,1.01186
14.66308,0.9841722
14.68323,0.989868
14.70337,1.006246
14.72351,1.006246
14.74365,0.9877007
14.76379,0.9855176
14.78393,0.9855064
14.80408,0.9788966
14.82422,0.9547814
14.84436,0.9550892
14.8645,0.982505
14.88464,0.9930098
14.90478,0.9930098
14.92493,0.9930098
14.94507,0.9966764
14.96521,1.023898
14.98535,1.071905
15.00549,1.086902
15.02563,1.06949
15.04578,1.07326
15.06592,1.076704
15.08606,1.081746
15.1062,1.081746
15.12634,1.109375
15.14648,1.125773
15.16663,1.123254
15.18677,1.123254
15.20691,1.093022
15.22705,1.074786
15.24719,1.032498
15.26733,0.9584473
15.28747,0.9276053
15.30762,0.9276053
15.32776,0.9432525
15.3479,0.9472634
15.36804,0.9780741
15.38818,0.9831935
15.40832,0.9619586
15.42847,0.9779337
15.44861,1.005301
15.46875,1.020495
15.48889,1.020495
15.50903,1.020495
15.52917,1.00359
15.54932,0.9507657
15.56946,0.9458929
15.5896,0.9843935
15.60974,0.9787568
15.62988,0.9430141
15.65002,0.9787568
15.67017,0.9430141
15.69031,0.9410352
15.71045,0.9337716
15.73059,0.9337716
15.75073,0.9014167
15.77087,0.9030727
15.79101,0.9621568
15.81116,1.033319
15.8313,1.048071
15.85144,0.9998769
15.87158,0.9549985
15.89172,0.94423
15.91186,0.94423
15.93201,0.94423
15.95215,0.9782674
15.97229,1.002478
15.99243,1.01587
16.01257,1.014834
16.03271,1.013044
16.05285,1.011302
16.073,1.003295
16.09314,0.9711615
16.11328,0.9711615
16.13342,0.9626231
16.15356,0.9925669
16.1737,1.021152
16.19385,1.021152
16.21399,1.028734
16.23413,1.0221
16.25427,0.9889608
16.27441,0.9724814
16.29455,1.004655
16.3147,1.004655
16.33484,1.022354
16.35498,1.002688
16.37512,0.9822316
16.39526,0.9886584
16.4154,1.004819
16.43554,1.016958
16.45569,1.027793
16.47583,1.022447
16.49597,1.006258
16.51611,1.006258
16.53625,1.006258
16.55639,1.006892
16.57654,1.017096
16.59668,1.013263
16.61682,1.009048
16.63696,1.009048
16.6571,1.001634
16.67724,0.9902207
16.69739,0.9680458
16.71753,0.9623023
16.73767,0.9623023
16.75781,0.9743408
16.77795,0.9978006
16.79809,0.9655579
16.81824,0.9306504
16.83838,0.9445351
16.85852,0.9795439
16.87866,0.9795439
16.8988,0.9948293
16.91894,1.006167
16.93909,0.9948293
16.95923,1.006167
16.97937,0.9948293
16.99951,1.006167
17.01965,1.017176
17.03979,1.024254
17.05993,1.013201
17.08008,0.99552
17.10022,0.9888431
17.12036,0.9991749
17.1405,0.996797
17.16064,1.018978
17.18078,1.018978
17.20093,1.030131
17.22107,1.063062
17.24121,1.074277
17.26135,1.074277
17.28149,1.090119
17.30163,1.073293
17.32178,1.019899
17.34192,0.9784692
17.36206,0.9678016
17.3822,0.9678016
17.40234,0.9970344
17.42248,1.031131
17.44263,1.041451
17.46277,1.042112
17.48291,1.009163
17.50305,0.9963054
17.52319,1.034614
17.54333,1.034614
17.56347,1.065462
17.58362,1.065462
17.60376,1.028872
17.6239,1.000833
17.64404,0.9874859
17.66418,0.9874859
17.68432,0.9861419
17.70447,0.9911442
17.72461,1.01534
17.74475,1.016948
17.76489,0.9631063
17.78503,0.9631063
17.80517,0.9423389
17.82532,0.997161
17.84546,1.042756
17.8656,1.048211
17.88574,1.036823
17.90588,1.036823
17.92602,1.04144
17.94617,1.039773
17.96631,1.021932
17.98645,1.021932
18.00659,1.011938
18.02673,1.00981
18.04687,1.019324
18.06701,1.027068
18.08716,1.018891
18.1073,1.019319
18.12744,1.042766
18.14758,1.0538
18.16772,1.0538
18.18786,1.044638
18.20801,1.021994
